Woreda,Zone,Region,adm3_pcode,Facilities_NoSupport,HR_NoSupport,LMRI_NoSupport,LowN_Flag,Facilities_Support,HR_Support,LMRI_Support,Delta
Shire,North Western,Tigray,ET010101,0,0,,1,3,1,0.3333,
Tahtay Koraro,North Western,Tigray,ET010104,22,3,0.1364,0,13,6,0.4615,0.3252
Asgede,North Western,Tigray,ET010105,9,2,0.2222,0,9,0,0.0,-0.2222
Adidaero,North Western,Tigray,ET010111,2,1,0.5,0,7,0,0.0,-0.5
Tsimbla,North Western,Tigray,ET010113,7,0,0.0,0,4,0,0.0,0.0
Indabaguna,North Western,Tigray,ET010114,0,0,,1,1,0,0.0,
Ahferom,Central,Tigray,ET010202,14,0,0.0,0,0,0,,
Lailay Maichew,Central,Tigray,ET010205,7,0,0.0,0,9,0,0.0,0.0
Tahtay Maychew,Central,Tigray,ET010206,13,0,0.0,0,0,0,,
Adet,Central,Tigray,ET010207,17,1,0.0588,0,0,0,,
Kolla-tembien,Central,Tigray,ET010208,15,5,0.3333,0,0,0,,
Naeder,Central,Tigray,ET010209,14,0,0.0,0,0,0,,
Abergelle Yechila,Central,Tigray,ET010210,14,0,0.0,0,0,0,,
Abi Adi,Central,Tigray,ET010211,1,0,0.0,1,0,0,,
Axum Town,Central,Tigray,ET010213,2,2,1.0,1,0,0,,
Rama,Central,Tigray,ET010214,5,0,0.0,0,4,0,0.0,0.0
Ahsea,Central,Tigray,ET010215,10,0,0.0,0,0,0,,
Hahayle,Central,Tigray,ET010217,11,1,0.0909,0,0,0,,
Embaseneyti,Central,Tigray,ET010219,10,1,0.1,0,1,0,0.0,-0.1
Keyh-Tekli,Central,Tigray,ET010221,13,0,0.0,0,0,0,,
Tanqua Milash,Central,Tigray,ET010222,11,0,0.0,0,0,0,,
Subhasaesie,Eastern,Tigray,ET010303,15,1,0.0667,0,0,0,,
Hawzen,Eastern,Tigray,ET010305,0,0,,0,25,1,0.04,
Kilte-awlaelo,Eastern,Tigray,ET010306,0,0,,0,14,12,0.8571,
Atsibi,Eastern,Tigray,ET010307,0,0,,0,15,1,0.0667,
Tsaeda Emba,Eastern,Tigray,ET010314,14,0,0.0,0,0,0,,
Tsirae Wemberta,Eastern,Tigray,ET010315,0,0,,0,14,2,0.1429,
Raya Azebo,Southern,Tigray,ET010406,9,0,0.0,0,0,0,,
Maichew,Southern,Tigray,ET010409,3,0,0.0,1,0,0,,
Mekoni,Southern,Tigray,ET010412,5,1,0.2,0,0,0,,
Seharti,South Eastern,Tigray,ET010601,0,0,,0,12,0,0.0,
Hintalo,South Eastern,Tigray,ET010603,17,15,0.8824,0,0,0,,
Dogua Temben,South Eastern,Tigray,ET010604,2,0,0.0,0,10,0,0.0,0.0
Samree,South Eastern,Tigray,ET010606,8,0,0.0,0,5,0,0.0,0.0
Assaita,Zone 1,Afar,ET020103,4,2,0.5,1,0,0,,
Abaala,Zone 2,Afar,ET020203,8,4,0.5,0,0,0,,
Berihale,Zone 2,Afar,ET020205,0,0,,1,1,0,0.0,
Dalol,Zone 2,Afar,ET020206,7,0,0.0,0,0,0,,
Raya Kobo,North Wollo,Amhara,ET030302,7,4,0.5714,0,0,0,,
Gidan,North Wollo,Amhara,ET030303,8,6,0.75,0,0,0,,
Gubalafto,North Wollo,Amhara,ET030307,1,1,1.0,1,1,0,0.0,-1.0
Habru,North Wollo,Amhara,ET030308,10,3,0.3,0,0,0,,
Argoba,South Wollo,Amhara,ET030401,9,3,0.3333,0,0,0,,
Debreberhan town,North Shewa,Amhara,ET030520,3,0,0.0,1,0,0,,
Ziqulla,Waghimra,Amhara,ET030801,9,3,0.3333,0,18,2,0.1111,-0.2222
Abergelle,Waghimra,Amhara,ET030805,23,0,0.0,0,0,0,,
Sehala Seyemt,Waghimra,Amhara,ET030806,9,0,0.0,0,0,0,,
Tsagbiji,Waghimra,Amhara,ET030808,10,0,0.0,0,0,0,,
Mena Sibu,West Wollega,Oromia,ET040101,8,5,0.625,0,0,0,,
Gimbi,West Wollega,Oromia,ET040103,10,6,0.6,0,0,0,,
Lataa sibuu,West Wollega,Oromia,ET040197,14,10,0.7143,0,1,0,0.0,-0.7143
Sasiga,East Wollega,Oromia,ET040211,9,3,0.3333,0,3,1,0.3333,0.0
Guto Gida,East Wollega,Oromia,ET040213,4,4,1.0,0,3,0,0.0,-1.0
Mieso,West Hararghe,Oromia,ET040901,0,0,,0,31,9,0.2903,
Bedeno,East Hararghe,Oromia,ET041013,32,0,0.0,0,9,0,0.0,0.0
Gurawa,East Hararghe,Oromia,ET041016,46,18,0.3913,0,0,0,,
Gola Oda,East Hararghe,Oromia,ET041017,21,3,0.1429,0,0,0,,
Harana Buluk,Bale,Oromia,ET041111,9,3,0.3333,0,0,0,,
Barbare,Bale,Oromia,ET041114,6,0,0.0,0,0,0,,
Gura Dhamole,Bale,Oromia,ET041115,3,1,0.3333,1,0,0,,
Goro,Bale,Oromia,ET041116,12,1,0.0833,0,0,0,,
Moyale,Borena,Oromia,ET041210,17,0,0.0,0,0,0,,
Dire,Borena,Oromia,ET041211,18,0,0.0,0,0,0,,
Teltalle,Borena,Oromia,ET041212,21,0,0.0,0,0,0,,
Miyo,Borena,Oromia,ET041216,22,0,0.0,0,0,0,,
Guchi,Borena,Oromia,ET041290,9,0,0.0,0,0,0,,
El-Woye,Borena,Oromia,ET041295,0,0,,0,9,0,0.0,
Wolisso town,South West Shoa,Oromia,ET041303,6,0,0.0,0,2,0,0.0,0.0
Becho,South West Shoa,Oromia,ET041309,0,0,,1,2,0,0.0,
Abaya,West Guji,Oromia,ET041513,14,0,0.0,0,0,0,,
Hawa Gelan,Kellem Wollega,Oromia,ET041801,4,0,0.0,1,0,0,,
Sayo,Kellem Wollega,Oromia,ET041805,0,0,,1,4,0,0.0,
Dembi Dollo,Kellem Wollega,Oromia,ET041806,0,0,,1,1,0,0.0,
Lega Hidha,East Bale,Oromia,ET042102,0,0,,0,10,0,0.0,
Rayitu,East Bale,Oromia,ET042104,4,0,0.0,0,1,0,0.0,0.0
Erar,Sitti,Somali,ET050104,11,10,0.9091,0,0,0,,
Afdam,Sitti,Somali,ET050105,3,0,0.0,1,0,0,,
Kabribayah,Fafan,Somali,ET050206,30,9,0.3,0,0,0,,
Harshin,Fafan,Somali,ET050207,30,20,0.6667,0,0,0,,
Harawa,Fafan,Somali,ET050299,1,0,0.0,1,0,0,,
Shilabo,Korahe,Somali,ET050503,0,0,,0,6,1,0.1667,
Marsin,Korahe,Somali,ET050586,0,0,,0,15,12,0.8,
East Imi,Shebele,Somali,ET050601,18,8,0.4444,0,0,0,,
Adadle,Shebele,Somali,ET050602,25,0,0.0,0,0,0,,
Godey,Shebele,Somali,ET050604,20,0,0.0,0,0,0,,
Kelafo,Shebele,Somali,ET050605,0,0,,0,15,4,0.2667,
Bercano,Shebele,Somali,ET050608,23,12,0.5217,0,0,0,,
Gode city,Shebele,Somali,ET050696,5,0,0.0,0,0,0,,
Elele,Shebele,Somali,ET050698,12,0,0.0,0,0,0,,
Charati,Afder,Somali,ET050802,5,0,0.0,0,4,0,0.0,0.0
Elkari,Afder,Somali,ET050804,7,4,0.5714,0,0,0,,
West Imi,Afder,Somali,ET050805,12,12,1.0,0,0,0,,
Hargelle,Afder,Somali,ET050806,9,4,0.4444,0,2,0,0.0,-0.4444
Bare,Afder,Somali,ET050807,1,1,1.0,1,0,0,,
Dolo-Bay,Afder,Somali,ET050808,10,4,0.4,0,1,0,0.0,-0.4
Filtu,Liben,Somali,ET050901,2,0,0.0,1,0,0,,
Dolo-Ado,Liben,Somali,ET050902,9,0,0.0,0,1,0,0.0,0.0
Dekasuftu,Liben,Somali,ET050991,8,6,0.75,0,0,0,,
Dangur,Metekel,Benishangul Gumuz,ET060201,3,0,0.0,1,1,0,0.0,0.0
Dibatie,Metekel,Benishangul Gumuz,ET060205,3,0,0.0,1,0,0,,
Bambasi,Assosa,Benishangul Gumuz,ET060305,19,8,0.4211,0,0,0,,
Buldigilu,Assosa,Benishangul Gumuz,ET060306,24,0,0.0,0,0,0,,
Hamer Woreda,South Omo,South Ethiopia,ET070704,4,2,0.5,1,0,0,,
Jinka town,Ari zone,South Ethiopia,ET070709,1,0,0.0,1,0,0,,
Abobo,Agnuak,Gambella,ET120201,2,0,0.0,1,1,0,0.0,0.0
Gambella Zuriya,Agnuak,Gambella,ET120202,0,0,,1,3,2,0.6667,
Gog,Agnuak,Gambella,ET120203,8,0,0.0,0,0,0,,
Gamella town,Agnuak,Gambella,ET120206,2,0,0.0,1,0,0,,
Intang,Itang Special woreda,Gambella,ET120407,6,0,0.0,0,3,0,0.0,0.0
